Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3280,0,3344,0.5048309178743962,1.0
0.01,173,3107,2,3342,0.5306461352657005,0.9994019138755981
0.02,251,3029,4,3340,0.5421195652173914,0.9988038277511961
0.03,319,2961,5,3339,0.5522342995169082,0.9985047846889952
0.04,376,2904,7,3337,0.5605374396135265,0.9979066985645934
0.05,436,2844,10,3334,0.5691425120772947,0.9970095693779905
0.06,496,2784,14,3330,0.5775966183574879,0.9958133971291866
0.07,559,2721,19,3325,0.586352657004831,0.9943181818181818
0.08,612,2668,26,3318,0.5932971014492754,0.9922248803827751
0.09,670,2610,29,3315,0.6016002415458938,0.9913277511961722
0.1,714,2566,34,3310,0.607487922705314,0.9898325358851675
0.11,756,2524,39,3305,0.6130736714975845,0.9883373205741627
0.12,806,2474,41,3303,0.6203200483091788,0.9877392344497608
0.13,849,2431,43,3301,0.6265096618357487,0.9871411483253588
0.14,898,2382,51,3293,0.6326992753623188,0.9847488038277512
0.15,948,2332,55,3289,0.6396437198067633,0.9835526315789473
0.16,989,2291,61,3283,0.644927536231884,0.9817583732057417
0.17,1029,2251,71,3273,0.6494565217391305,0.978767942583732
0.18,1070,2210,78,3266,0.6545893719806763,0.9766746411483254
0.19,1124,2156,86,3258,0.6615338164251208,0.9742822966507177
0.2,1168,2112,98,3246,0.6663647342995169,0.9706937799043063
0.21,1226,2054,103,3241,0.6743659420289855,0.9691985645933014
0.22,1280,2000,111,3233,0.6813103864734299,0.9668062200956937
0.23,1324,1956,121,3223,0.6864432367149759,0.9638157894736842
0.24,1378,1902,136,3208,0.6923309178743962,0.9593301435406698
0.25,1440,1840,149,3195,0.6997282608695652,0.9554425837320574
0.26,1501,1779,166,3178,0.7063707729468599,0.9503588516746412
0.27,1544,1736,184,3160,0.7101449275362319,0.9449760765550239
0.28,1597,1683,205,3139,0.714975845410628,0.9386961722488039
0.29,1658,1622,225,3119,0.7211654589371981,0.9327153110047847
0.3,1724,1556,246,3098,0.7279589371980676,0.9264354066985646
0.31,1776,1504,273,3071,0.7317330917874396,0.9183612440191388
0.32,1856,1424,299,3045,0.7398852657004831,0.9105861244019139
0.33,1948,1332,330,3014,0.7490942028985508,0.9013157894736842
0.34,2022,1258,359,2985,0.7558876811594203,0.8926435406698564
0.35,2097,1183,381,2963,0.7638888888888888,0.8860645933014354
0.36,2162,1118,410,2934,0.7693236714975845,0.8773923444976076
0.37,2225,1055,444,2900,0.7737016908212561,0.8672248803827751
0.38,2288,992,481,2863,0.7776268115942029,0.8561602870813397
0.39,2355,925,512,2832,0.7830615942028986,0.84688995215311
0.4,2404,876,544,2800,0.7856280193236715,0.8373205741626795
0.41,2458,822,577,2767,0.7887983091787439,0.8274521531100478
0.42,2505,775,622,2722,0.7891002415458938,0.8139952153110048
0.43,2559,721,658,2686,0.7918176328502415,0.8032296650717703
0.44,2607,673,701,2643,0.792572463768116,0.7903708133971292
0.45,2649,631,729,2615,0.7946859903381642,0.7819976076555024
0.46,2688,592,767,2577,0.7948369565217391,0.7706339712918661
0.47,2715,565,800,2544,0.7939311594202898,0.7607655502392344
0.48,2749,531,834,2510,0.7939311594202898,0.7505980861244019
0.49,2783,497,875,2469,0.7928743961352657,0.7383373205741627
0.5,2812,468,905,2439,0.7927234299516909,0.7293660287081339
0.51,2833,447,940,2404,0.7906099033816425,0.7188995215311005
0.52,2854,426,967,2377,0.7897041062801933,0.7108253588516746
0.53,2867,413,992,2352,0.7878925120772947,0.7033492822966507
0.54,2923,357,1057,2287,0.7865338164251208,0.6839114832535885
0.55,2946,334,1092,2252,0.7847222222222222,0.6734449760765551
0.56,2971,309,1123,2221,0.783816425120773,0.6641746411483254
0.57,2988,292,1154,2190,0.7817028985507246,0.6549043062200957
0.58,3002,278,1194,2150,0.7777777777777778,0.6429425837320574
0.59,3025,255,1225,2119,0.7765700483091788,0.6336722488038278
0.6,3042,238,1259,2085,0.7740036231884058,0.6235047846889952
0.61,3057,223,1303,2041,0.7696256038647343,0.6103468899521531
0.62,3067,213,1330,2014,0.7670591787439613,0.6022727272727273
0.63,3082,198,1363,1981,0.7643417874396136,0.5924043062200957
0.64,3095,185,1393,1951,0.7617753623188406,0.583433014354067
0.65,3105,175,1426,1918,0.7583031400966184,0.5735645933014354
0.66,3119,161,1457,1887,0.7557367149758454,0.5642942583732058
0.67,3132,148,1494,1850,0.7521135265700483,0.5532296650717703
0.68,3140,140,1529,1815,0.7480374396135265,0.5427631578947368
0.69,3146,134,1562,1782,0.7439613526570048,0.5328947368421053
0.7,3153,127,1591,1753,0.7406400966183575,0.5242224880382775
0.71,3163,117,1633,1711,0.7358091787439613,0.5116626794258373
0.72,3170,110,1657,1687,0.7332427536231884,0.5044856459330144
0.73,3182,98,1686,1658,0.7306763285024155,0.4958133971291866
0.74,3189,91,1733,1611,0.7246376811594203,0.4817583732057416
0.75,3201,79,1768,1576,0.7211654589371981,0.47129186602870815
0.76,3204,76,1806,1538,0.7158816425120773,0.4599282296650718
0.77,3208,72,1830,1514,0.7128623188405797,0.4527511961722488
0.78,3214,66,1854,1490,0.7101449275362319,0.44557416267942584
0.79,3217,63,1896,1448,0.7042572463768116,0.43301435406698563
0.8,3221,59,1921,1423,0.7010869565217391,0.4255382775119617
0.81,3228,52,1946,1398,0.6983695652173914,0.4180622009569378
0.82,3233,47,1989,1355,0.6926328502415459,0.4052033492822967
0.83,3237,43,2026,1318,0.6876509661835749,0.39413875598086123
0.84,3239,41,2067,1277,0.6817632850241546,0.381877990430622
0.85,3241,39,2103,1241,0.6766304347826086,0.37111244019138756
0.86,3245,35,2128,1216,0.6734601449275363,0.36363636363636365
0.87,3250,30,2168,1176,0.6681763285024155,0.35167464114832536
0.88,3257,23,2208,1136,0.6631944444444444,0.3397129186602871
0.89,3259,21,2249,1095,0.6573067632850241,0.32745215311004783
0.9,3260,20,2293,1051,0.6508152173913043,0.31429425837320574
0.91,3263,17,2336,1008,0.6447765700483091,0.3014354066985646
0.92,3265,15,2385,959,0.6376811594202898,0.2867822966507177
0.93,3269,11,2423,921,0.6325483091787439,0.27541866028708134
0.94,3272,8,2480,864,0.6243961352657005,0.2583732057416268
0.95,3274,6,2542,802,0.6153381642512077,0.23983253588516745
0.96,3274,6,2599,745,0.6067330917874396,0.22278708133971292
0.97,3274,6,2663,681,0.5970712560386473,0.20364832535885166
0.98,3278,2,2741,603,0.5858997584541062,0.18032296650717702
0.99,3280,0,2869,475,0.5668780193236715,0.14204545454545456
1.0,3280,0,3297,47,0.5022644927536232,0.014055023923444977
